"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"R10,R9,R8,R7,R6,R5,R4,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10k";;;
2;"R20,R19,R18,R24,R23,R22,R17,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"4.7k";;;
3;"R25,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"120";;;
4;"R27,R26,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
5;"R16,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
6;"C7,C6,C3,C13,C12,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"0.1uF";;;
7;"C9,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
8;"C5,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
9;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
10;"C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
11;"C1,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"0.1u";;;
12;"D7";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
13;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
14;"D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"BLUE";;;
15;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
16;"J6";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Pin";;;
17;"U2";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
18;"J3,J4,J5";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";3;"Screw_Terminal_01x02";;;
19;"U1,U5";"SOIC-8_3.9x4.9mm_P1.27mm";2;"SP3485EN";;;
20;"D1,D5";"SOT-23";2;"SM712_SOT23";;;
21;"J8";"TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm";1;"Screw_Terminal_01x04";;;
22;"SW2";"SW_Push_1P1T_NO_CK_KMR2";1;"BOOT";;;
23;"J9";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0_16P";;;
24;"D8";"D_SMA";1;"SS14";;;
25;"J1";"microSD_HC_Molex_104031-0811";1;"Micro_SD_Card_Det1";;;
26;"BT1";"BAT_SMTU2032-LF";1;"SMTU2032-LF";;;
27;"D3";"D_SOD-123";1;"1N4148";;;
28;"U4";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
29;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
30;"SW1";"SW_Push_1P1T_NO_CK_KMR2";1;"RST";;;
